인허가 변경일자,인허가 번호,상호명,주소,전화번호,인허가 before 정보,인허가 after 정보
="20250519",="20140059080",(주)나우에스제이 춘타운(청춘닭발),서울특별시 노원구 노해로81길 12-21(진경빌딩 1층 2 3호 상계동),="029306118",홍**,홍*******
="20250519",="20230517125",59쌀피자 봉담2지구점,경기도 화성시 봉담읍 매봉로 441(1동 지1층 B104호),,이**,이*******
="20250519",="20240565106",BBQ 화성팔탄점,경기도 화성시 팔탄면 시청로 807(1층 일부호),,김**,이**
="20250519",="20210339290",EL viaje(엘 비아제) 원흥본점,경기도 고양시 덕양구 원흥3로 16(KB중앙타워 116호 원흥동),="0319621677",김**,이**
="20250519",="20240548421",HS푸드,경기도 이천시 향교로 26(풍성한교회 102호 창전동),,김**,김**
="20250519",="20050205416",가나안덕 계양점,인천광역시 계양구 장제로 1038(박촌동 1층),="0325152600",김*******,이**
="20250519",="20180121419",갓잇 올림픽공원점(GOD EAT),서울특별시 강동구 성안로 14(은성빌딩 1층 성내동),="050713879451",최**,성**
="20250519",="20030107107",강서면옥,서울특별시 강남구 언주로164길 19(신사동 지상1 2층),,선********,한********
="20250519",="20230374288",계근상 수원세류점,경기도 수원시 권선구 권선로509번길 2(2층 203호 세류동),="15516245",조**,정**
="20250519",="20130106939",고끌림,서울특별시 강남구 언주로113길 13(지상1층 논현동),="0234450044",Z**************,이**
="20250519",="20210339763",고향옥얼큰순대국 내유점,경기도 고양시 덕양구 통일로 1088(1층 내유동),="0319687795",김*******,정**
="20250519",="20220265493",곧봄,인천광역시 부평구 경원대로 1429(1층 일부호 부평동),,이**,김**
="20250519",="20100306432",굽네치킨 평택팽성점,경기도 평택시 팽성읍 안정리 146-6 (1층),="0316559294",김*******,김**
="20250519",="20190297194",긴자인덕원점(주)신화푸드,경기도 안양시 동안구 흥안대로 402(지상3층 평촌동),,백*******,오**
="20250519",="20240148693",길채정,서울특별시 강남구 압구정로 343(갤러리아백화점 명품관 WEST 지하1층 압구정동),="0269053386",변**,박**
="20250519",="20240580055",김가네김밥,경기도 여주시 점동면 청안로 140(1층),,김**,김**
="20250519",="20100325332",꾸석지 돌판한우 백석역점,경기도 고양시 일산동구 백석로72번길 6-2(1층 전체호 백석동),="0319029287",김**,허******
="20250519",="20160271046",꾸석지돌판한우 수원장안구청점,경기도 수원시 장안구 송원로 84(조원동),="0312589993",박**,박**
="20250519",="20220396946",꿉키,경기도 부천시 소사구 경인로10번길 26(1층 일부호 송내동),,이**,김**
="20250519",="20010310302",네네치킨중앙점,경기도 동두천시 동광로81번길 15(생연동),="0318612234",변**,왕***
="20250519",="20230428552",노랑통닭 평택팽성점,경기도 평택시 팽성읍 안정로29번길 22(까뮤 이스테이트 험프리스 104호),,이**,이**
="20250519",="20240404502",단밥과 고기,경기도 의정부시 흥선로 130-1(지상1층 의정부동),,신**,정**
="20250519",="20150098473",담떡,서울특별시 서초구 서초중앙로22길 22-7(1층 101호 서초동),,김**,김*******
="20250519",="20120313354",닭헌터,경기도 안산시 상록구 본원로3길 13-1(1층 본오동  1층 일부),="0315058648",윤**,박**
