인허가 변경일자,인허가 번호,상호명,주소,전화번호,인허가 before 정보,인허가 after 정보
="20250523",="20170115122",(주)브라더스스토어 단정 가든파이브점,서울특별시 송파구 충민로 66(5층 문정동  가든파이브라이프 테크노관),="0226732586",김**,박**
="20250523",="20090327129",BBQ치킨문촌점,경기도 고양시 일산서구 주엽로 150(주엽동  자유프라자 108 109호),="0319240116",이**,이********
="20250523",="19910069379",BBQ 홍대입구점,서울특별시 마포구 어울마당로 115(동교동 1.2층),="023370147",이**,유**
="20250523",="20200299332",CGV부천옥길 팝콘팩토리,경기도 부천시 소사구 옥길로 124(C동 8층 806호 일부호 옥길동),,박**,박**
="20250523",="20240554667",가마치통닭 김포장기점,경기도 김포시 김포한강2로 100(비호뉴팰리스 1층 103호 장기동),,유**,양**
="20250523",="20190382847",강다짐 동탄시범단지점,경기도 화성시 동탄대로시범길 134(1층 1039호 청계동  시범 반도유보라 아이비파크4.0),,최**,김**
="20250523",="20200365125",고기극찬 용인처인구점,경기도 용인시 처인구 금령로27번길 16-15(1층 일부 김량장동),="07075764905",전**,전*******
="20250523",="20230522007",곱창규,경기도 광주시 경안로41번길 7-5(1층 경안동),,최**,추**
="20250523",="20150285787",구식당,경기도 의정부시 시민로156번길 60(지상1층 의정부동),,박**,엄**
="20250523",="20200053388",국민영양센터 수유점,서울특별시 강북구 노해로 126(1층 수유동),,박**,장**
="20250523",="20210114680",굿투올,서울특별시 송파구 동남로2길 3(103호 문정동),,이**,이**
="20250523",="20170316527",꼬량,경기도 안산시 단원구 광덕동로 65(112호 고잔동),,김**,이**
="20250523",="20240492262",꾸이한끼,경기도 고양시 일산동구 강송로 33(지하1층 일부호 백석동  일산 요진 와이시티),,J************,김**
="20250523",="20230269178",꿀밤타코야끼,인천광역시 남동구 백범로 361(1층 일부호 간석동),,전**,신**
="20250523",="19840066320",남가네 설악추어탕,서울특별시 서대문구 모래내로 350-1(홍은동),="0203944481",박**,박**
="20250523",="20210094876",노라라이브,서울특별시 관악구 신림동5길 49(3층 신림동),,전**,라**
="20250523",="20250287184",노아하우스,인천광역시 계양구 계양산로134번길 19(1층 계산동),,김**,김**
="20250523",="20150193351",달빛퓨전포차,인천광역시 미추홀구 낙섬동로 56(1층 106호 용현동  우성아파트상가),="0328889290",임**,권**
="20250523",="20190376659",대동집,경기도 안성시 공도읍 공도로 83(106호),,이**,구**
="20250523",="20250498031",덴마크부대찌개,경기도 과천시 과천대로12길 117(과천펜타원스퀘어 B145호 갈현동),,심**,김*******
="20250523",="20220049664",동해횟집,서울특별시 동대문구 홍릉로3길 12(제기동),,이**,백**
="20250523",="20010094925",돼지사냥,서울특별시 관악구 난곡로78길 20(신림동),="028530379",황**,김**
="20250523",="20050282068",두끼 분당서현점,경기도 성남시 분당구 서현로210번길 10(서현동  다두프라자 지상2층 201호 202호),="0317085747",김**,김**
="20250523",="20170069923",딜리슬라이스피자,서울특별시 마포구 희우정로10길 4(망원동  1층),,이**,유**
="20250523",="20240460067",딜리버리하우스 평택점,경기도 평택시 현신3길 5-19(1층 용이동),,박**,박**
="20250523",="20150076981",똥광,서울특별시 강서구 공항대로46길 57(정원빌딩 2층 화곡동),="0220655200",명**,권**
="20250523",="20130107296",라피자노스트라,서울특별시 강남구 테헤란로 406(A동 1층 101호 대치동  샹제리제센터),,진**,조**
="20250523",="20220265141",메가엠지씨커피 부평에스케이뷰해모로점,인천광역시 부평구 부평문화로 186-1(1층 부개동),,최**,김**
="20250523",="20220487328",메가엠지씨커피 용인보라나곡점,경기도 용인시 기흥구 사은로 130-8(104호  105호 보라동),,김**,이**
="20250523",="20020267553",메티스,경기도 수원시 팔달구 인계로138번길 26(2층 인계동),="0312365420",박**,김**
="20250523",="19880306030",명객본점,경기도 평택시 중앙로 38(평택동  24),="6569763",P**********,H*********
="20250523",="20210087520",목가적,서울특별시 영등포구 국회대로 580-7(1층 당산동3가),,정*******,김**
="20250523",="20210290725",목롯집 본점,경기도 의정부시 오목로 219(지상 1층 107호 민락동),,정**,손**
="20250523",="20080086978",목단,서울특별시 영등포구 디지털로37길 9(대림동 지하1층),,W***********,Z*****************
="20250523",="20210042494",무지개맥주,서울특별시 동대문구 경희대로1길 9(1층 회기동),="029679115",오**,이**
="20250523",="20190290719",문득,경기도 의정부시 시민로158번길 11(지상1층 의정부동),,남**,조**
="20250523",="20020290347",물고래,경기도 안양시 만안구 석천로171번길 20(D동 1층 82 83 88 89호 석수동),,이**,김**
="20250523",="20210326214",바로미 백합칼국수,경기도 안산시 단원구 구봉길 12(1층일부 대부북동),,박**,윤**
="20250523",="19930205139",바른흑염소 계산점,인천광역시 계양구 계양대로 171(1층 계산동),="0325434040",김**,김**
="20250523",="20240108677",버거앤타코 홈플러스강서점,서울특별시 강서구 화곡로 398(홈플러스강서점앤본사사옥 1층 XF  Y12호 등촌동),,남**,이**
="20250523",="19970208477",보드람치킨,인천광역시 서구 심곡로 21(심곡동 1층4호),="0325685545",김**,윤**
="20250523",="20230391300",보양명가추어탕,경기도 의정부시 금오로 32(지상1층 금오동),,허**,허*
="20250523",="20150323464",복이네칼국수 화정본점,경기도 고양시 덕양구 화중로130번길 32(파스텔프라자201 202호동 화정동),,정**,김**
="20250523",="20240051104",볼리치네(Bollichine),서울특별시 용산구 독서당로 71(1층 한남동),,유**,유**
="20250523",="20190378576",북경,경기도 김포시 양촌읍 양곡로 526(1층),="0319894248",황**,황**
="20250523",="20140025854",북촌한식뷔페,서울특별시 종로구 북촌로 3(지층 재동),,강**,김**
="20250523",="20210372328",불천하양꼬치훠궈,경기도 파주시 경의로 1100(연세프라자 207 208호 야당동),,J****************,W********
="20250523",="20240492407",브이랩(V-LAB),경기도 고양시 일산동구 강송로74번길 7-14(1층일부호 백석동),,편**,임**
="20250523",="20220462730",빠밤,경기도 남양주시 별내면 청학로 11(1층 일부호),,김**,유**
="20250523",="20070273373",뼈끝집,경기도 수원시 권선구 곡선로50번길 14-7(102호 곡반정동),="0312391331",이**,박**
="20250523",="20150070181",사계절 이모카세,서울특별시 강남구 언주로168길 5(지미안빌딩 지상1층 신사동),,조*******,전**
="20250523",="20240561971",사월에보리밥과쭈꾸미 동탄레이크꼬모점,경기도 화성시 동탄대로 181(판매시설B동 지하2층 CB201호 송동  동탄린스트라우스더레이크),,손**,임**
="20250523",="20110364152",산골우렁쌈밥,경기도 화성시 기배로 37(기안동  426-6번지 1층),="0312395457",황**,조**
="20250523",="20160069429",산책,서울특별시 마포구 성암로13길 60(1층 상암동),,김**,김**
="20250523",="20010372142",소주는 내마음에 지우개(카페),경기도 포천시 소흘읍 송우리 142-3,="0315449207",박**,고**
="20250523",="20250045599",솔솥 서울역점,서울특별시 중구 세종대로 17(그레이츠 숭례 1층 남대문로5가),,이**,이**
="20250523",="20240273019",송도 실비,인천광역시 연수구 해돋이로 161(세종프라자 107~110호 송도동),,백**,이**
="20250523",="20240274853",송도삼겹,인천광역시 연수구 송도미래로 9(비알씨주 연구소 3동 1층 115호 송도동),,하**,오**
="20250523",="20240384348",숑숑돈까스 홈플러스북수원점,경기도 수원시 장안구 경수대로 930(삼성홈플러스 1층 X4YD호 조원동),,김**,권**
="20250523",="20210205713",순이네 행복한 밥상,인천광역시 부평구 대정로 7(부평한라비발디 2층 221호 부평동),,P***************,P********************
="20250523",="20180199142",스마일,인천광역시 연수구 선학로 37(상가동 1층 108호 선학동  정광아파트),,이**,박**
="20250523",="20230102929",시선호텔,서울특별시 강서구 남부순환로 188(지하1층 외발산동),,최*******,최**
="20250523",="20020332211",신불타는오리궁뎅이,경기도 남양주시 오남읍 팔현로175번길 214-13,="5731399",최**,문**
="20250523",="20240263418",썬이네 밥상,인천광역시 중구 운중로21번길 5(1층 103호 운남동),,송**,이**
="20250523",="20160281819",아구대감,경기도 성남시 분당구 금곡로23번길 4(구미동  1층 전부),="0317123606",고**,백**
="20250523",="20070202915",아지트,인천광역시 부평구 시장로30번길 5(부평동 외2필지 테마프라자 201호  202호),="0325018074",나*****************,오**
="20250523",="20220446613",아토키토 삼송직영점,경기도 고양시 덕양구 삼송로 222(101판매시설동 1층 114호 삼송동  삼송역 현대 헤리엇),,김**,이*******
="20250523",="20240513651",알통이네밥상,경기도 시흥시 거북섬5길 4(센터프라자 202~204호 정왕동),,한**,한*******
="20250523",="20030043297",양지함박왕돈까스,서울특별시 동대문구 장한로 194(1층 103호  104호 장안동),="0222478856",우**,우**
="20250523",="20120364868",양푼이 김치찌개,경기도 화성시 동탄반송3길 36-13(반송동  17-9 1층 전체),="03180036215",J**********,기**
="20250523",="20180278494",연새담,경기도 수원시 권선구 매송고색로 714(1층 고색동),="0312785559",양**,김**
="20250523",="20200203353",연탄길,인천광역시 남동구 만수로75번길 13-2(1층 전부호 만수동),,정**,정**
="20250523",="20240561767",오늘육회오뗑,경기도 화성시 지산1길 8-2(1층 일부호 영천동),,오**,권**
="20250523",="20220268466",오리와염소,인천광역시 계양구 오조산로57번길 7(성림프라자 3층 일부호 계산동),="07075762661",오**,조**
="20250523",="20190196007",왕갑부옛날통닭,인천광역시 미추홀구 경원대로852번길 5(B-4호 주안동),="0324375707",임**,서********
="20250523",="20110336133",왕코다리세상,경기도 오산시 동부대로 312(갈곶동 화남빌딩 1층),="0313778386",가*******,P**************
="20250523",="20190066961",요쇼쿠야 리나,서울특별시 서대문구 연희로11가길 39(1층 102호 연희동),,이**,김**
="20250523",="20240495514",우리동네 연탄집,경기도 고양시 일산서구 하이파크1로 90(1동 1층 덕이동),,정**,선**
="20250523",="20120091524",우이락 상도점,서울특별시 동작구 상도로 290(상도1동  1층),,이*******,방*******
