인허가 변경일자,인허가 번호,상호명,주소,전화번호,인허가 before 정보,인허가 after 정보
="20250605",="20120348379",(주)아워홈해솔리아컨트리클럽티하우스1,경기도 용인시 처인구 이동면 서리 1223 외14필지  1층 티하우스-1동,="0313217755",구**,김**
="20250605",="20120348378",(주)아워홈해솔리아컨트리클럽대식당,경기도 용인시 처인구 이동면 서리 1223 외14필지  1층 클럽하우스동,="07040086006",구**,김**
="20250605",="20120348374",(주)아워홈해솔리아컨트리클럽스타트하우스,경기도 용인시 처인구 이동면 서리 1223 외14필지  지하1층 클럽하우스동,="07086103460",구**,김**
="20250605",="20120348377",(주)아워홈해솔리아컨트리클럽티하우스3,경기도 용인시 처인구 이동면 서리 1223 외14필지  1층 티하우스-3동,="07040086006",구**,김**
="20250605",="20120348376",(주)아워홈해솔리아컨트리클럽티하우스2,경기도 용인시 처인구 이동면 서리 1223 외14필지  1층 티하우스-2동,="07040086006",구**,김**
="20250605",="20180070150",(주)아워홈 에쓰오일마포점,서울특별시 마포구 백범로 192(지하1층 공덕동),="0269669278",구**,김**
="20250605",="20000316057",(주)아워홈 고려대안산병원장례식장점,경기도 안산시 단원구 적금로 123(고려대학교안산병원 별관동 지하1층 일부 고잔동),="0314125441",구**,김**
="20250605",="20030205683",(주)지원글로벌케이와이씨 백소정 계양구청점,인천광역시 계양구 오조산로89번길 9(용종동 태영프라자 108 109호),="0325567201",J************,김*
="20250605",="20230103185",1인 샤브,서울특별시 강서구 우장산로 7(장원빌딩 1층 102-1호 내발산동),="07048336393",심**,조**
="20250605",="20210384709",1킬로 탕수육 봉담점,경기도 화성시 봉담읍 와우안길 59(1층 일부호),,윤**,최**
="20250605",="20240555023",33떡볶이&꼬마김밥 김포마산점,경기도 김포시 김포한강8로194번길 8-2(1층 102호 마산동),,신**,이**
="20250605",="20180091675",603 오스테리아,서울특별시 동작구 서달로14다길 13(1층 흑석동),,정**,최**
="20250605",="20200278608",BBQ(비비큐),경기도 수원시 권선구 권선로639번길 19(1층 권선동),,임**,김*******
="20250605",="20210203641",고기혁명인천시청점,인천광역시 남동구 예술로 326(1층 간석동),="07078687775",표**,표**
="20250605",="20200331344",고기미담,경기도 안산시 단원구 지곡로 21(1층 일부102호 선부동),="0314118589",김**,홍**
="20250605",="20090197641",고래,인천광역시 연수구 청명로31번길 8(청학동 지상1층),,손**,권**
="20250605",="20240404084",고진상회,경기도 의정부시 범골로157번길 27(지상1층 의정부동),,정*******,김**
="20250605",="20030080258",고향집처럼,서울특별시 구로구 구로동로47길 10(구로동),,송**,이**
="20250605",="20240098316",공차 공덕점,서울특별시 마포구 백범로31길 7(근린생활시설획지1동 지1층 제B113  B114호 공덕동  공덕 SK 리더스뷰),,손**,손**
="20250605",="20170316421",국수전,경기도 안산시 단원구 와동1로 52(와동  1층 일부),="0314137789",송**,윤**
="20250605",="20190066597",굽네치킨(서대문 연희점),서울특별시 서대문구 연희로 170(1층 연희동),="023339492",유**,정**
="20250605",="19880084211",귀빈식당,서울특별시 금천구 시흥대로6가길 21(지상1층 시흥동),="0208089505",이**,이**
="20250605",="20240463791",그리운성산포횟집,경기도 평택시 고덕여염11길 173(1층 고덕동),,신**,신*******
