인허가 변경일자,인허가 번호,상호명,주소,전화번호,인허가 before 정보,인허가 after 정보
="20250609",="20190372317",(주)파주팜랜드,경기도 파주시 탄현면 새오리로 318-32(1층),,이**,조**
="20250609",="19990026253",SW컨벤션센터,서울특별시 종로구 지봉로 19(창신동),="0236735000",김**********************,김**********************
="20250609",="19990026253",SW컨벤션센터,서울특별시 종로구 지봉로 19(창신동),="0236735000",김**********************,김*********************************************************
="20250609",="20160327096",bhc후곡성저점,경기도 고양시 일산서구 일산로 614(107호 일산동  후곡마을상가동),="0319160075",김**,이**
="20250609",="20230265923",갈비집9941,인천광역시 연수구 청능대로53번길 14(지상1층 청학동),,최**,최*******
="20250609",="20210199218",강다짐 송도점,인천광역시 연수구 신송로 153(더 마란츠타워 121호 송도동),="050713698286",노**,배**
="20250609",="19950039379",강변11번포차,서울특별시 광진구 아차산로49길 10(구의동),="024478999",김**,유**
="20250609",="20190352429",경성,경기도 오산시 원동로7번길 27(1층 원동),,M**************,L*************
="20250609",="20050362273",계화정 김포시청점,경기도 김포시 돌문로 60(1층 사우동),="0319824666",김**,변**
="20250609",="20230486241",고인돌,경기도 하남시 미사강변동로84번길 20(퀸즈파크 미사1차 1층 107  108호 망월동),,이*******,이**
="20250609",="20040316562",고향맛손칼국수,경기도 안산시 단원구 대부황금로 1285(대부북동  1161-41  1층),="0328843310",박**,김**
="20250609",="20220089542",곱도리탕참맛있는집 강서점,서울특별시 강서구 공항대로44길 39(1층 화곡동),="0236632605",신**,김**
="20250609",="20140372297",곱찬집,경기도 포천시 소흘읍 송우로 73(1층 104호),,곽**,곽**
="20250609",="20100364835",국수나무(병점점),경기도 화성시 효행로 1073(진안동 거성프라자 103호),,이**,박**
="20250609",="20170116498",굽돌집 잠실방이점,서울특별시 송파구 오금로 125(1층 방이동),,이************,이**
="20250609",="20200346559",그시절1988,경기도 구리시 갈매중앙로 16(상가동 112호 갈매동  구리갈매푸르지오),,최**,김**
="20250609",="20070316192",김소통무한리필샤브샤브불고기,경기도 안산시 단원구 원본로4길 1(원곡동  757-9  1층),="0314910888",Y*********,J***************
="20250609",="20240381768",꼬따꼬뜨,경기도 수원시 영통구 센트럴파크로127번길 80-7(지1층 이의동),,김**,김**
="20250609",="20220071441",꾸탱이 닭한마리,서울특별시 노원구 덕릉로83길 20-12(지상1층 중계동),,유**,김*******
="20250609",="20250108407",꾸석지돌판한우(강서구청점),서울특별시 강서구 까치산로27길 17(1층 일부호 화곡동),,임**,임*******
="20250609",="20200109432",나능이,서울특별시 강남구 선릉로146길 29(지하2층 청담동),,이**,강**
="20250609",="20240460693",나르는 손수제비,경기도 평택시 조개터로6번길 31-3(1동 1층 합정동),,이**,박**
="20250609",="20120099082",나오리장작구이 포이점,서울특별시 서초구 논현로 55(1층 양재동),,황**,이**
="20250609",="20200378715",남도한식부페,경기도 김포시 대곶면 대곶로 386(1층),="0319976859",이*******,김*******
="20250609",="20050099318",다이닝브랜즈그룹 주식회사 비에이치씨 서초교대점,서울특별시 서초구 서초대로48길 33(103호 서초동),,유**,S***************
="20250609",="20200278550",달빛,경기도 수원시 권선구 세지로94번길 46(1층 권선동),,오**,오**
="20250609",="20160202866",달빛포차,인천광역시 부평구 주부토로46번길 25(101호 부평동  더프라임캐슬),="0325238880",장**,신**
="20250609",="20090358301",대청마루,경기도 이천시 호법면 이섭대천로 524(1층),="0316319992",김**,차**
="20250609",="19950377067",대추나무집,경기도 가평군 북면 화악산로11번길 6-12,="0315827064",김**,황**
="20250609",="20000375240",더좋은날,경기도 여주시 세종로40번길 21,="0318820582",이**,J***************
="20250609",="19950372031",도마치계곡유원지,경기도 포천시 이동면 화동로 2318-30,="5317424",김**,이**
="20250609",="20110345440",두레통닭 신장1호점,경기도 하남시 대청로 50-1(1층 5 6호 신장동),="0317949238",김*******,김**
="20250609",="20240109457",두부공방,서울특별시 강서구 마곡서로 152(두산더랜드타워 1층 A-110호 마곡동),="0269899990",이**,이*
="20250609",="20240548004",또또수제돈까스,경기도 이천시 관고재로 25(1층 관고동),,송**,강**
="20250609",="20010325162",또 냉삼,경기도 고양시 일산동구 산두로 205(정발산동),="0319125506",박**,문**
="20250609",="20220274249",띵호와,인천광역시 서구 북항로32번안길 9-20(105  106호 원창동),,이**,이**
="20250609",="20170286248",라이온(Lion),경기도 의정부시 신흥로239번길 39(지상2층 의정부동),,이**,최**
="20250609",="20230057385",러프,서울특별시 동대문구 약령시로 6(1층 101호 제기동),,김**,이**
