인허가 변경일자,인허가 번호,상호명,주소,전화번호,인허가 before 정보,인허가 after 정보
="20250520",="20150025890",(Moth:VO)모스보,서울특별시 종로구 성균관로 38(2층 명륜1가),,김**,유**
="20250520",="20230103185",1인 샤브,서울특별시 강서구 우장산로 7(장원빌딩 1층 102-1호 내발산동),,이**,심**
="20250520",="20180393214",Mkit:coffee,경기도 여주시 산북면 주어로 122-1(1층),,정**,이**
="20250520",="20240543935",고수,경기도 파주시 문산읍 방촌로 1721(1층 110호),,권**,배**
="20250520",="20210290570",골목파전,경기도 의정부시 평화로 220(브랜드상설매장 지상1층 111호 호원동),,신**,윤**
="20250520",="20210366281",구내식당 삼성동탄점,경기도 용인시 기흥구 용구대로2469번길 57-85(외3필지 1층 일부호 보정동),,김**,기**
="20250520",="20050199392",구월길포차2,인천광역시 남동구 성말로 12(구월동 성말로 12 웰빙프라자 108호),,송**,김**
="20250520",="20130080093",금돈집,서울특별시 구로구 디지털로32나길 17-22(구로동),,김*******,김**
="20250520",="20220027704",금별맥주 종로점,서울특별시 종로구 종로12길 18(1~2층 관철동),,이************,정*******
="20250520",="19990323082",꼴목,경기도 고양시 덕양구 화신로260번길 33(화정동 1층),="0319719990",박**,한**
="20250520",="20010313443",꿉다,경기도 안산시 상록구 성포로 31(현대1차상가112동 1층 13호 성포동),="0314109966",정**,유**
="20250520",="20140325634",난리피자,경기도 고양시 일산동구 위시티2로11번길 31(1층 103호 식사동  스타타워),="0319639610",김*******,김**
="20250520",="20080208779",네네치킨 검암점,인천광역시 서구 도요지로189번길 104(검암동),="0325674479",정**,조**
="20250520",="20200108533",너마늘 안동갈비 역삼점,서울특별시 강남구 테헤란로19길 28(지상1층 역삼동),,강**,조**
="20250520",="20170338685",노랑통닭시흥정왕점,경기도 시흥시 정왕신길로229번길 19(102호 정왕동),="0314999997",김**,최************
="20250520",="20060193055",노아,인천광역시 미추홀구 매소홀로428번길 5(학익동  1 2층),="8721616",이**,고**
="20250520",="20110348079",다담해장국,경기도 용인시 처인구 양지면 은이로 3,="0313339979",이**,조**
="20250520",="20230431143",달김,경기도 평택시 지산2로 50(상가동 1층 101호 102호 지산동  건영아파트),,한**,김**
="20250520",="20050080133",대박수산,서울특별시 구로구 도림천로 338(1층 구로동),,이*******,이**
="20250520",="20050080133",대박수산,서울특별시 구로구 도림천로 338(1층 구로동),,이**,이*******
="20250520",="20230124073",도로시파스타연정,서울특별시 관악구 봉천로 362-1(1층 봉천동),,김**,김**
="20250520",="20200121728",도미노피자 천호암사점,서울특별시 강동구 올림픽로 738(월봉빌딩 1층 101 102호 천호동),="024753082",오*******,안**
="20250520",="20250542481",돈대패 우대패,경기도 파주시 운정로 25(1층 일부 상지석동),,박**,김**
="20250520",="19990377089",동기간,경기도 가평군 가평읍 보납로 459-158(1층 1 2 5 6동),="0315815570",김**,김************
="20250520",="20180348647",두근두근,경기도 남양주시 화도읍 마석로45번길 39(102호),,김**,이**
="20250519",="20050297689",드마리스 부천점,경기도 부천시 원미구 길주로 71(상동 리파인빌 301 302 303호),="0323280088",김**,한*******
="20250520",="20220517796",땔감,경기도 양주시 옥정동로3길 34-6(주건축물제1동 1층 일부 옥정동),="0318486700",장**,이**
="20250520",="20240387694",또바기분식,경기도 수원시 권선구 경수대로247번길 32(1층 일부호 세류동),,유**,조**
="20250520",="20200195684",로스터 엘,인천광역시 미추홀구 경인로 236(1층 좌측호 도화동),,이**,한*
="20250520",="20110297265",마타네가츠,경기도 부천시 원미구 중동로 391(약대동  1층일부),,심**,이**
="20250520",="20090338169",매화네양꼬치,경기도 시흥시 신천3길 40-1(신천동 1층),="05074153379",이**,김***************
="20250520",="20230518128",멕시카나 병점점,경기도 화성시 효행로 1060(이타운4 1층 107호 병점동),,김**,김**
="20250520",="19960348141",멜팅소울 갤리언점,경기도 용인시 처인구 포곡읍 에버랜드로 199,="0313208349",정**,김**
="20250520",="20050336327",면이야기,경기도 오산시 대원로15번길 1(오산동),="0313745518",홍**,C****************
="20250520",="20150333533",명가순대국뼈해장국 마석본점,경기도 남양주시 화도읍 수레로 1175,="0315599059",서**,서*******
="20250520",="20240510637",명백집(오산세마점),경기도 오산시 독산성로 425(더퍼스트타워세교 1층 106호 세교동),,김**,장**
="20250520",="20200362047",미미사 양꼬치,경기도 하남시 미사강변동로 127(경서타워 2층 208호 망월동),="07075437266",L******,L********
="20250520",="20080105371",반지하 선릉점,서울특별시 강남구 선릉로86길 28(1층 대치동),="025633994",장**,이**
="20250520",="20000076577",방화리,서울특별시 강서구 금낭화로 107-6(방화동),="0226654885",전**,김**
="20250520",="20180349671",별내 쭈꾸미,경기도 남양주시 별내5로5번길 12-10(1층 일부호 별내동),,김**,김*******
="20250520",="20200200250",본디[Bon.D],인천광역시 연수구 아트센터대로 131(커낼워크D2 SUMMER 201동 116호 송도동),,정**,정*******
="20250520",="20200272308",봉자막창 수원역점,경기도 수원시 팔달구 향교로 23(2층 매산로2가),,임************,신**
="20250520",="20250399686",분당정자 해피딜리즈,경기도 성남시 분당구 내정로31번길 7-5(1층 일부 정자동),,이**,김**
="20250520",="20250113344",브샤브샤 구로디지털단지점,서울특별시 구로구 디지털로32길 79(조영빌딩 2층 구로동),,조*******,조**
="20250520",="20190352169",비어그라운드오산시청점,경기도 오산시 운천로 80-17(유길빌딩 1층 101호 오산동),="0313720107",김**,김**
="20250520",="20230111619",사또 숯불 갈비,서울특별시 금천구 시흥대로 291(310동 145호 독산동  금천롯데캐슬골드파크3차),,최*******,최**
="20250520",="20230405123",사월에보리밥과쭈꾸미 부천소풍점,경기도 부천시 원미구 송내대로 239(소풍부천터미널 4층 4539호~4547호 상동),,반**,정**
="20250520",="20190384670",삼백짬뽕,경기도 화성시 비봉면 현대기아로 845(C동 1층),="0313558226",김**,김**
="20250520",="20230264294",삼청당 송도점,인천광역시 연수구 컨벤시아대로230번길 54(닥터플러스몰 1층 A105호 송도동),,이**,이**
="20250520",="20240492039",상상오리 일산점,경기도 고양시 일산동구 중앙로 1341(청원레이크빌Ⅱ 112호 장항동),,안**,구*******
="20250520",="20230148200",상보sea숙성회,서울특별시 송파구 올림픽로32길 58(2층 방이동),,박**,박**
="20250520",="20170316492",선비칼국수,경기도 안산시 단원구 신길로 10-5(신길동  1층 일부),,다****************************,채**
="20250520",="20170279229",섬마을포장마차(일조푸드호프),경기도 성남시 중원구 도촌로7번길 3-8(1층 도촌동),="0317074734",민**,김**
="20250520",="20240154712",소표국수(개롱점),서울특별시 송파구 오금로46길 27(1층 102호 가락동  가락동 상가주택),,윤**,권**
="20250520",="20210212428",송도만두 안산중앙점,경기도 안산시 단원구 중앙대로 907(안산종합상가 상가1동 1102호 고잔동),="0314111599",오**,김**
="20250520",="19970364005",수원가든,경기도 화성시 우정읍 남양만로 568,="0313580161",문*******,문**
="20250520",="20230477751",순타순대꾼,경기도 시흥시 서울대학로 59-21(배곧로얄팰리스 테크노1차 1층 169호 배곧동),,한**,김**
="20250520",="20040114827",술 다락,서울특별시 송파구 백제고분로39길 26(지상1층 석촌동),="024179110",윤**,윤**
="20250520",="20180366617",스시선,경기도 용인시 기흥구 동백중앙로 283(골드프라자 1층 A107호 중동),,윤*******,곽*******
="20250520",="20230084106",아렌 베이글&포케 새절역점,서울특별시 은평구 증산로17길 6-33(1층 신사동),,심**,심*******
="20250520",="20240291638",아르마도 워케이션,인천광역시 서구 서곶로 837(5층 당하동),,정************,정**
="20250520",="20180284281",아자아자혼밥혼술,경기도 성남시 중원구 광명로 89(성남 센트럴 푸르지오 시티 1층 162호 성남동),="0316014100",한**,방**
="20250520",="20140070019",아탕,서울특별시 마포구 성암로13길 14(1층 상암동),,정**,최**
="20250520",="20230102777",악마 갈비찜,서울특별시 강서구 우장산로 7(장원빌딩 1층 102-2호 내발산동),="07048336393",이**,심**
="20250520",="20200211582",안다미로,인천광역시 서구 단봉로 99(그리니빌딩 204호 왕길동),,서**,서**
="20250520",="20150372449",알리네,경기도 포천시 소흘읍 송우로21번길 4(3층),,김**,A************
="20250520",="20140197203",야다이,인천광역시 연수구 컨벤시아대로 126(지상1층 146 147호 송도동  푸르지오월드마크8단지),="0328323045",오*******,노*******
="20250520",="20250136778",야끼서울,서울특별시 서초구 신반포로 336(1층 반포동),,홍**,홍**
="20250520",="20030199679",엉터리 무한대패 만수점,인천광역시 남동구 장승남로 63(2층 만수동),,이**,권**
="20250520",="20020330449",에스(S),경기도 구리시 체육관로 156(2층 좌측호 수택동),="0315646934",손**,장**
="20250520",="20230476297",역전호프,경기도 시흥시 월곶중앙로14번길 59(1층 일부호 월곶동),,전**,김**
="20250520",="20110107015",연스시,서울특별시 강남구 테헤란로37길 15(역삼동 번지 지하1층),="025014411",이**,배**
="20250520",="20010091620",옛골,서울특별시 동작구 성대로1길 1(2층 상도동),="0208242334",김**,손**
="20250520",="20230057999",오복곱창,서울특별시 동대문구 고산자로36길 3(경동시장 본관1층 10055 10056호 제기동),,김*******,박**
="20250520",="20140336062",옥이네포차,경기도 오산시 원동로37번길 23(1층 원동),="03180508995",P**************,이**
="20250520",="20240067418",우아한과일(중랑점),서울특별시 중랑구 중랑천로 43-1(2층 면목동),,박**,조**
="20250520",="20230460849",웍의 전설,경기도 고양시 일산서구 한류월드로 300(고양 원마운트 1층 1223 1224호 대화동),,허**,곽**
="20250520",="20040208606",육면가,인천광역시 서구 고래울로 31(가좌동),="0325810909",이**,김**
="20250520",="20060036092",육전국밥 성수역점,서울특별시 성동구 아차산로 88(성수동2가 지상1층),="024973731",정*******,정**
="20250520",="20040267559",인술인해 수원인계점,경기도 수원시 팔달구 권광로187번길 29(1층 인계동),="0312237324",최**,최*******
="20250520",="20210355992",일마일라,경기도 시흥시 정왕시장길 52(정왕시장 1층 122호 정왕동),,이**************,최**
="20250520",="20140310018",일미옛날통닭,경기도 동두천시 중앙로273번길 10(생연동),="0318652433",정**,박**
="20250520",="20220093180",일삼삼 숙성고기전문점 발산점,서울특별시 강서구 강서로 348(상가2동 1층 103호 내발산동  우장산힐스테이트),="0236630133",나**,이**
="20250520",="20160325051",일영대추나무집,경기도 고양시 일산동구 무궁화로 32-12(장항동  일산 라페스타E 204호일부),="0319016761",성*******,성**
="20250520",="20210066901",일천각,서울특별시 서대문구 수색로2길 14(1층 남가좌동),="023087282",이**,이**
="20250520",="20210380235",장기초당 B.H.C,경기도 김포시 김포한강2로 69(상가동 1층 103호 장기동  초당마을 래미안 한강),,최**,김**
="20250520",="20120316524",정담한식뷔페,경기도 안산시 단원구 고잔2길 87(205호 고잔동  대성빌딩),,김**,장**
="20250520",="20220049625",정성 서울국수,서울특별시 동대문구 이문로 166(캠퍼스빌 101호 이문동),,윤**,양**
="20250520",="20150208310",정석갈비,인천광역시 서구 청마로51번안길 18(당하동  1층 계단쪽우측),,이**,서**
="20250520",="20170338092",준서참숯정육식당,경기도 시흥시 월곶중앙로 58(중앙프라자 2층 202호 월곶동),="0313140999",허**,권**
="20250520",="20200203599",지코바치킨구월1호점,인천광역시 남동구 선수촌공원로23번길 12(구월로자벨 1층 108호 구월동),="0324679291",정**,이**
="20250520",="20240387408",짜장도사,경기도 수원시 권선구 세지로112번길 25-1(101호 권선동),,박**,김**
="20250520",="20020105491",짜장도사,서울특별시 강남구 역삼로 133(역삼동 지하1층),="025639222",박**,신**
="20250520",="20060313495",찌개상회,경기도 안산시 상록구 샘골로 131(1층 107호 본오동),="0314089792",조**,제**
="20250520",="20230079073",착한파스타 중계점,서울특별시 노원구 노원로 330(롯데마트 지하1층 중계동),,경**,한**
="20250520",="20130377047",천년뱃길한우클래식,경기도 가평군 설악면 미사리로645번길 204-110(1층),,이**,심**
="20250520",="20240562088",천향,경기도 화성시 효행로 490-6(1층 2층 전체호 안녕동),,범**,김**
="20250520",="20030084029",치리돈,서울특별시 금천구 시흥대로 200(지상1층 시흥동),="028029955",강**,이**
="20250520",="20240411117",카페 케이(KAFE K),경기도 안양시 만안구 문예로 21(1층 일부호 안양동),,유**,김**
="20250520",="20230284172",카페인셔틀,인천광역시 강화군 강화읍 강화대로419번길 1(1층),,박**,이**
="20250520",="20200029689",커피그래 로스터스,서울특별시 중구 동호로 204(청화빌딩 1층 101호 신당동),,윤**,정**
="20250520",="20200331446",쿨리나리야,경기도 안산시 단원구 관산2길 34(안산명성교회 1층일부 원곡동),,S**********,T**********
="20250520",="20240384021",키이로 텐동,경기도 수원시 장안구 수성로 175(7층 7170호 정자동),="050714771182",윤**,김**
="20250520",="20230102954",킹타코야끼,서울특별시 강서구 우장산로 7(장원빌딩 1층 102-3호 내발산동),="07048336393",이**,심**
