인허가 변경일자,인허가 번호,상호명,주소,전화번호,인허가 before 정보,인허가 after 정보
="20250611",="20070362306",25cm 김포사우점,경기도 김포시 돌문로62번길 5(사우동),,곽**,오**
="20250611",="20240155798",JON 존 맛탱 닭강정 문정점,서울특별시 송파구 법원로 128(문정역SKV1 C동 1층 113호 문정동),,황**,김**
="20250611",="20170197014",WAH EDA(와에다),인천광역시 연수구 함박로 54(1층 연수동),="0328217681",S***********************,S**********************
="20250611",="20010200268",강력풍천장어,인천광역시 남동구 문화로89번길 27(1층 구월동),="0324254830",조*******,임*******
="20250611",="20010200268",강력풍천장어,인천광역시 남동구 문화로89번길 27(1층 구월동),="0324254830",임**,임**
="20250611",="19960332568",강을보다,경기도 남양주시 화도읍 경춘로2696번길 2-22,="0315593800",지**,정*******
="20250611",="20230141049",개판포차 신사,서울특별시 강남구 강남대로152길 34(지상1층 신사동),,김**,남*******
="20250611",="20240046371",게미식당,서울특별시 중구 마른내로 113-1(2층 오장동),,허**,박**
="20250611",="20220397331",고기육첩,경기도 부천시 원미구 석천로30번길 27(1층 일부호 상동),,A**************,배**
="20250611",="20100050038",고려대안암병원장례식장식당,서울특별시 성북구 안암로 145(고려대학교안암병원장례식장 1층 안암동5가),="029237281",구**,김**
="20250611",="20060205083",고레카레계산점,인천광역시 계양구 계산새로 71(계산동 하이베라스 B동105호),="0325520701",정**,민**
="20250611",="20160338219",고향가마솥,경기도 시흥시 군서로46번길 2(1층 정왕동),,황************,임*****************
="20250611",="20070193703",고향흑염소,인천광역시 미추홀구 독정이로 15(용현동),="0328812009",박**,김**
="20250611",="20070327219",기쁨한식뷔페,경기도 고양시 일산서구 덕이로 209-10(덕이동 외1필지),="0319192027",이**,이**
="20250611",="20240503361",나리타(호평타로점),경기도 남양주시 호평로46번길 8(홍조프라자 102호 호평동),,정**,김**
="20250611",="20200202754",나인문,인천광역시 남동구 문화서로23번길 13(1층 일부호 구월동),,이**,황***
="20250611",="20200100043",남대한우,서울특별시 서초구 신반포로 324(1층 4호 5호 8호 반포동),,김**,오**
="20250611",="20190369233",노랑통닭 성복역점,경기도 용인시 수지구 수지로 124(성복스퀘어/근린생활시설 113호 성복동),,강**,장**
="20250611",="20190114512",뉴트로2010,서울특별시 송파구 오금로11길 12(2층 201호 방이동),="024227945",김**,박**
="20250611",="20060211072",다시오리,인천광역시 강화군 송해면 당골길 75-34,="0329342888",최**,김**
="20250611",="20190192041",다옴족발보쌈,인천광역시 중구 하늘별빛로65번길 8-11(메이채프라자 101호 중산동),="0327519212",장**,양**
="20250611",="20060205153",다이몽,인천광역시 계양구 효서로 356(작전동 작전빌딩 201호),="0325470030",강**,강**
="20250611",="20210362065",당구야놀자 하남신장점,경기도 하남시 신장로136번길 7(2층 덕풍동),,손**,이**
="20250611",="20200369138",더킹덤 커피앤베이커리,경기도 용인시 수지구 신봉1로347번길 12(디에스알앤디 C동  B동 1층 2층 신봉동),="0312648881",안**,안**
="20250611",="20240145419",더타코부스 강남역점,서울특별시 강남구 테헤란로4길 46(지상1층 101호 역삼동  쌍용플래티넘밸류),,김**,서**
="20250611",="20220510666",더홀릭화성점,경기도 화성시 봉담읍 동화새터길 98(스타타워II 4층 403호 404호),,박**,김**
="20250611",="20170304844",동근이숯불두마리치킨하안점,경기도 광명시 안재로2번길 17(1층 하안동),,김*******,김************
="20250611",="20220268210",두찜 경인교대점,인천광역시 계양구 계산로 83-1(1층 일부호 계산동),,김**,김**
="20250611",="20220268210",두찜 경인교대점,인천광역시 계양구 계산로 83-1(1층 일부호 계산동),,김**,김**
="20250611",="20240268510",등촌샤브칼국수 주안점,인천광역시 미추홀구 주안로 105-1(1층 주안동),="0324223999",심**,고**
="20250611",="20240514189",디저트참잘하는집시흥능곡장현점,경기도 시흥시 장현능곡로 155(시흥 플랑드르 1층 1108호 능곡동),,전**,권**
="20250611",="20110336162",또래오래세교점,경기도 오산시 수청로50번길 25-11(1층 내삼미동),="0313729033",이**,황**
="20250611",="19840059025",뚱삼 삼겹살,서울특별시 노원구 한글비석로31길 16-2(1층 상계동),="029361500",오**,김**
="20250611",="20170120889",라데카,서울특별시 강동구 올림픽로62길 38(지하1층 성내동),,이**,전**
="20250611",="20230457745",류사부 중식당,경기도 고양시 일산동구 중앙로1275번길 56(루비튜스데이 108호 장항동),,이**,정**
="20250611",="20200029793",마라쑈 허이야,서울특별시 중구 다산로42길 12(2층 신당동),,김**,H********
="20250611",="20240489577",마장동연가 도래울점,경기도 고양시 덕양구 도래울안길 34(1일부층 도내동),,서**,이**
="20250611",="19980029762",만선 6,서울특별시 중구 충무로9길 14(1층 을지로3가),="0222771840",방**,방**
="20250611",="20220505135",매일바른푸드,경기도 김포시 양촌읍 황금로48번길 13-17(1층 101호),,장**,장*******
="20250611",="20000360001",명동 닭갈비,경기도 안성시 석정동 267-6,="0316739277",문**,박**
="20250611",="20050316664",명인숯불갈비,경기도 안산시 단원구 와동공원로 178(와동  786-14  1층),="0314391599",김**,김**
="20250611",="20240387697",모두의죽 인계점,경기도 수원시 권선구 권광로 107(2층 3호 권선동),,최**,김**
="20250611",="20200284134",모재,경기도 성남시 중원구 둔촌대로113번길 25(지층 성남동),,임**,이**
="20250611",="20240127052",묘우.묘우(Miao.Miao),서울특별시 동작구 흑석로8길 6(지하1층 흑석동),,L***************,L*******
="20250611",="20200391262",무명주점,경기도 포천시 소흘읍 솔모루로 71-10(1층),,김**,맹************
="20250611",="20160285085",무한 팔도대패 의정부 민락점,경기도 의정부시 민락로 394(지상1층 낙양동),="0318520920",김**,양**
="20250611",="20240393474",무화과나무 아래,경기도 성남시 수정구 남문로17번길 4(1층 태평동),,김**,김*******
="20250611",="20190274714",미가부대찌개,경기도 수원시 영통구 영통로200번길 21(현대프라자 1층 101호 영통동),="07075760530",이**,이**
="20250611",="19920190018",바우네,인천광역시 중구 서해대로 216(신흥동3가  53-8번지 1층),="8849850",곽**,이**
="20250611",="20040316217",배터지는집,경기도 안산시 단원구 구봉길 6(대부북동  1857-7  1층),="0328844787",김*******,김**
="20250611",="20230492115",백암곱창야식,경기도 용인시 처인구 백암면 백암로201번길 13-4(1층),="0313219279",박**,주**
="20250611",="20210099280",별미칡냉면,서울특별시 서초구 신반포로45길 9-4(1층 102호 잠원동),,김**,장**
="20250611",="20110285436",복순네포차,경기도 의정부시 호국로1187번길 3(가능동 지상1층),,김**,서**
="20250611",="20000114758",부안상회 유한회사,서울특별시 송파구 양재대로 932(A동 1층 019-1호 가락동  농수산물도매시장 가락몰),="024486938",정**,박**
="20250611",="20030332686",불타는연탄구이,경기도 남양주시 진접읍 내각1로73번길 8(외2필지),="5718036",강**,안**
="20250611",="20230111619",사또 숯불 갈비,서울특별시 금천구 시흥대로 291(310동 145호 독산동  금천롯데캐슬골드파크3차),,최**,신*******
="20250611",="20240283646",삼산샤브칼국수,인천광역시 부평구 체육관로 40(신영프라자 2층 204  205호 삼산동),="050714313491",박*******,박**
="20250611",="20150355256",샤브르정원 파주야당점,경기도 파주시 경의로 1080(2층 야당동),="0319496682",박**,이**
="20250611",="20220357474",샵샵,경기도 수원시 팔달구 화서문로 38(1층 신풍동),,이**,유**
="20250611",="20220140114",서울도넛츠 석촌점,서울특별시 송파구 가락로 2(1층 103호 석촌동),,한**,최**
="20250611",="20240147024",세븐럭카지노 강남코엑스점 키친,서울특별시 강남구 테헤란로87길 58(컨벤션별관 지상5층 삼성동),="0234666262",김**,윤**
="20250611",="20210025328",소다만식품,서울특별시 종로구 수표로 92(1층 관수동),,임**,양**
="20250611",="20140202443",쇠이니꼬,인천광역시 부평구 광장로4번길 29(1층 부평동  신영빌딩),="0325283581",산*************,L********
="20250611",="20190341589",수곱도리탕전문점 일산점,경기도 고양시 일산동구 일산로428번길 38(1층 일부호 정발산동),,주**,유**
="20250611",="20200200391",숙성고기 복돈집,인천광역시 연수구 학나래로118번길 45(2층 선학동),,정**,정**
="20250611",="20040114432",스쿨푸드 송파구청점,서울특별시 송파구 가락로 235(지상1층 방이동),="024222272",김**,조**
="20250611",="20250263280",시루 케이크,인천광역시 중구 공항서로 473(1층 일부 남북동),,한**,한**
="20250611",="20210382693",신동랩,경기도 화성시 봉담읍 와우로 96(A동 1층 일부호),,신**,정**
="20250611",="20240437253",심선연 가마솥손두부,경기도 부천시 소사구 연동로159번길 35(1층 옥길동),,황**,정**
="20250611",="20190382801",쓰리엑스라지커피 동탄물류센터점,경기도 화성시 동탄물류로 69(화성동탄물류단지D2블럭 1동 1층 102일부호 신동),="0313759141",차**,이**
="20250611",="20220436425",아우라7080라이브,경기도 안산시 단원구 와동공원로 157(지하1층 와동),,오**,이**
="20250611",="20200323275",아일라,경기도 평택시 서두물로25번길 4(1층 서정동),,임**,임**
="20250611",="20230276682",아크(ARK),인천광역시 계양구 계산로 63(2층 계산동),="0325567772",김**,남**
="20250611",="20030190176",압구정포차,인천광역시 중구 서해대로454번길 10(1층 선화동),,강**,노**
="20250611",="20170308003",에스에스바(SS BAR),경기도 평택시 특구로23번길 17(2층 서정동),,유**,이**
="20250611",="20220251413",에어라인(AA),인천광역시 미추홀구 미추홀대로734번길 23(주안빌딩 3층 주안동),,문**,피**
="20250611",="20230149551",엠지엠,서울특별시 송파구 올림픽로 342(아울타워 지하2층 B02호 방이동),,이**,이**
="20250611",="20130308022",역전할머니맥주이충점,경기도 평택시 경기대로 1286(108호 109호 이충동  명성빌딩),="0316681982",한**,박**
="20250611",="20060190192",역전할머니맥주 동인천역점,인천광역시 중구 우현로87번길 4(1층 인현동),="0327733250",김**,서**
="20250611",="20080053268",영희네쌈밥,서울특별시 강북구 4.19로2길 5(박영희빌딩 1층 수유동),="029801198",박**,강**
="20250611",="20040205730",옛골순대국,인천광역시 계양구 안남로573번길 7(효성동),="0325517316",조**,유**
="20250611",="20230517223",오레시피 영통망포점,경기도 화성시 영통로61번길 11(골드프라자 1층 106호 반월동),,이*******,유**
="20250611",="19910368023",오리엔탈,경기도 광주시 초월읍 현산로385번길 74-1,,박**,김**
="20250611",="20230067664",오육,서울특별시 성북구 고려대로13길 43(1층 안암동1가),,유**,K***********
="20250611",="20200070345",온전,서울특별시 마포구 월드컵로 122(풍원빌딩 1층 성산동),,김**,장**
="20250611",="20240148264",올데이파스타 강남점,서울특별시 강남구 봉은사로25길 18(지하1층 논현동),,강**,임**
="20250611",="20200352103",올디스레코드(OLDIESRECORD),경기도 오산시 내삼미로 93(110호 수청동),,진**,전**
="20250611",="20130050309",우아한 친구들,서울특별시 성북구 도봉로3길 9-11(1층 길음동),="029828889",박**,장**
="20250611",="20220375055",우주요거트 앤 아이스크림,경기도 성남시 중원구 산성대로372번길 10(단대시장 2층 110호일부호 금광동),,이*******,이**
="20250611",="20200331493",원기황멘치킨,경기도 안산시 단원구 원곡로 18(1층일부 원곡동),,L***********,Y****************
="20250611",="20240046725",위글커피,서울특별시 중구 명동길 14(Noon Square 4층 명동2가),,이**,오**
="20250611",="20230469755",유식당,경기도 남양주시 불암로109번길 4-19(주1동 1층 일부호 별내동),,신**,노**
="20250611",="20130362378",유원한식뷔페,경기도 김포시 대곶면 율마로 36(가동 1층),="0319884055",채**,김**
="20250611",="20210378408",은혜찬방,경기도 김포시 풍무2로 35(1층 104호 풍무동),,신*******,강**
="20250611",="20170269162",이가네양꼬치(영통1호점),경기도 수원시 영통구 청명남로28번길 2(109 110호 영통동),="0312043188",류**,P****************
="20250611",="20230454713",이비가짬뽕 지축역점,경기도 고양시 덕양구 지정로 20(엘 스페이스 북한산 109일부호  110호 지축동),,황**,김*******
="20250611",="20240548492",이천쌀 가마솥밥,경기도 이천시 마장면 오천로 110(1층 104호),,성*******,김**
="20250611",="20240463115",인생화로,경기도 평택시 지산2로 100(1층 지산동),,윤**,김**
="20250611",="20060358280",장충동엄지왕족발,경기도 이천시 향교로18번길 1(1층 창전동),="0316359599",박**,박*******
="20250611",="20240580429",전국팔도순대전문점,경기도 여주시 세종로 44(1층 창동),,최**,이**
="20250611",="20240059147",정글바베큐,서울특별시 광진구 아차산로 200(3층 자양동),,박**,한**
="20250611",="20240058426",정글바베큐,서울특별시 광진구 아차산로 200(커먼그라운드 SM동 3층 일부호 자양동),,박**,한**
