인허가 변경일자,인허가 번호,상호명,주소,전화번호,인허가 before 정보,인허가 after 정보
="20250604",="20240108820",(주)아워홈 이대서울병원점 (KALIS lab),서울특별시 강서구 공항대로 260(이화의대부속서울병원 지하 1층 마곡동),="0802347575",구**,김**
="20250604",="20240045327",(주)아워홈 신한카드중구점(카페),서울특별시 중구 을지로 100(파인에비뉴 A동 25층 을지로2가),,구**,김**
="20250602",="20060364552",(주)아워홈 화성상록골프장(그늘집2),경기도 화성시 풀무골로60번길 80(중동),="0313710106",구**,김**
="20250602",="20060364551",(주)아워홈 화성상록골프장(그늘집),경기도 화성시 풀무골로60번길 80(중동),="0313710106",구**,김**
="20250602",="20060364548",(주)아워홈 화성상록골프장(클럽하우스),경기도 화성시 풀무골로60번길 80(1층 일부호 중동),="0313710201",구**,김**
="20250602",="20150364719",(주)아워홈 화성상록골프장(스타트하우스),경기도 화성시 풀무골로60번길 80(중동),="07049064898",구**,김**
="20250602",="20160364167",(주)아워홈 화성상록골프장(그늘집3),경기도 화성시 풀무골로60번길 80(중동),,구**,김**
="20250602",="20220112377",60계 서울신대방삼거리점,서울특별시 동작구 여의대방로22길 121(제상가동 제1층 1430호 신대방동  보라매자이 더 포레스트),,이**,방**
="20250604",="20240121580",LG트윈타워점(KALIS lab),서울특별시 영등포구 여의대로 128(LG트윈타워 서관 지하1층 여의도동),="0237731541",구**,김**
="20250602",="20240122965",JB딜리버리,서울특별시 영등포구 신길로41라길 15-2(1층 신길동),,이**,J***************
="20250602",="20190389009",PHO(포)77,경기도 양주시 평화로 1440(스타프라자 113호 덕계동),="0318595080",J****************,최**
="20250602",="20210383417",가장맛있는족발 봉담2지구,경기도 화성시 봉담읍 장등1길 3-17(1동 1층 전부호),,유**,박**
="20250602",="20220379244",감미옥,경기도 성남시 분당구 대왕판교로 136(창영빌딩 1층 금곡동),,도**,김*******
="20250602",="20240058934",강창구찹쌀진순대 광장점,서울특별시 광진구 아차산로 612(1층 광장동),,강**,강**
="20250602",="20120353570",거대참치,경기도 용인시 수지구 광교중앙로 301(상현동  드림타워 202호),="0312179595",김*******,정**
="20250602",="20240274775",거룡가,인천광역시 연수구 컨벤시아대로 80(401동 133호 송도동  인천송도힐스테이트),="0328512771",이**,이**
="20250604",="20160046068",경성더빱,서울특별시 중랑구 망우로 353(AB-126호 상봉동  상봉 프레미어스 엠코 비주거동),="024342848",송*******,우**
="20250604",="19990094371",경성양꼬치 신림점,서울특별시 관악구 신림동7길 47(1층 신림동),="028718281",형*******,김**
="20250602",="20230531200",고기듬뿍국물두루치기 여주점,경기도 여주시 세종로46번길 15-6(1층 창동),="0318825083",조**,함**
="20250602",="20190053212",고기반 햄반 김치찌개,서울특별시 강북구 덕릉로 93-9(1층 번동),,문*******,문**
="20250602",="20180364788",고담순대국,경기도 용인시 처인구 원삼면 농촌파크로 225(1층),,이**,서**
="20250602",="20030046464",고바우생고기,서울특별시 중랑구 동일로99길 24(면목동),,송**,안**
="20250604",="20240492227",고야카페,경기도 고양시 일산동구 중앙로 1271-1(1층 일부호 장항동),,허******,허*
="20250604",="20030297768",곱창마니,경기도 부천시 원미구 조종로 66(원미동 토담빌라101호),="6669245",이**,J***************
="20250604",="20240279681",공간공감,인천광역시 남동구 백범로294번길 20(간석LH2단지상가1동 제1상가동 105호 간석동),="050714331527",조**,조**
="20250602",="20130063064",곱창앤야끼 술집,서울특별시 은평구 연서로25길 20-11(1층 갈현동),,문**,조**
="20250602",="20200348868",곱창나라 달빛포차,경기도 남양주시 오남읍 진건오남로536번길 10(다동주3 1 2층),,정**,김**
="20250602",="20200276222",광교산뒷고기,경기도 수원시 장안구 광교산로138번길 1(1층 연무동),,장**,정**
="20250602",="20240574168",광화문 왕돈까스 양주본점,경기도 양주시 신칠봉산로 136(1층 일부 봉양동),="0318577760",이**,김**
="20250604",="20240555885",구십일점육,경기도 김포시 김포한강1로 250(201  202호 운양동),,주**,정**
="20250602",="20210369120",구일구(IXIIX_919),경기도 용인시 수지구 동천로 68(동천마을동문굿모닝힐5차아파트 상가동 1층 104호 동천동),,배**,이**
="20250602",="20240565577",국제제면소 봉담점,경기도 화성시 봉담읍 참샘길 33(1층 116호 해오름마을봉담그대가2단지아파트),,조**,김**
="20250602",="20210389843",굿샐(Good sal),경기도 양주시 광적면 삼일로65번길 115(1층 전체),,정**,정**
="20250604",="20070342283",그날들2,경기도 군포시 산본천로226번길 33(2층 금정동),,유**,김**
="20250604",="20060342134",그날들1,경기도 군포시 산본천로226번길 33(1층 금정동),,유**,김**
="20250604",="20240046289",그랜드돈까스 던던 동대문점,서울특별시 중구 을지로 264(롯데 FiTin 8층 10호 을지로6가),,박**,곽**
="20250604",="19790193009",김가네국밥,인천광역시 미추홀구 한나루로 438(학익동),="032",명**,김**
="20250604",="20230138887",김랩,서울특별시 강남구 언주로125길 11(지상1층 101호 논현동),,박**,강**
="20250602",="20210084029",김밥스쿨,서울특별시 금천구 가산디지털2로 70(대륭테크노타운19차 108호 가산동),,최*******,최**
="20250602",="20240473068",김밥싸롱,경기도 안산시 상록구 성호로 52(1층 일부 일동),,김**,김**
="20250602",="20020308383",김부대찌개,경기도 평택시 진위면 봉남길 48(1층),="6627117",윤**,김**
="20250604",="20040036712",깡따구 포차,서울특별시 성동구 마조로5길 4-10(행당동 101호),,윤**,장**
="20250604",="20120105670",깐부치킨 역삼본점,서울특별시 강남구 논현로85길 37(지상1층 역삼동),="025692111",김**,김**
="20250602",="20140271220",깡돈 영화점,경기도 수원시 장안구 영화로26번길 21(108호 영화동  북문프라자),="0312461009",박**,유**
="20250602",="20240051094",깐부치킨 용산리첸시아점,서울특별시 용산구 백범로 341(B동 103호 원효로1가  리첸시아 용산),,유**,김**
="20250604",="19980377074",깡철이네,경기도 가평군 가평읍 석봉로 194,="0315829510",김*******,김**
="20250602",="20020362294",꼴통바베큐,경기도 김포시 대곶면 율생로 56(1층 일부호),="0319830054",이**,김**
="20250604",="19960372431",나고집,경기도 포천시 화현면 봉화로 270,="5335755",장**,함**
="20250604",="20010025050",나마스테,서울특별시 종로구 지봉로 18(숭인동),="0222322286",k**********,이**
="20250604",="20220363361",나연밥상,경기도 수원시 장안구 수성로303번길 42(1층 정자동),="0312525525",조**,한**
="20250604",="20220086097",나스(NASSE),서울특별시 마포구 와우산로19길 9(1층 서교동),,손**,장**
="20250604",="19950120792",나이너펍,서울특별시 강동구 올림픽로70길 60(천호동),,주**,이**
="20250604",="20230428554",날마다포차,경기도 평택시 소사5길 28(2층 소사동),="03180295230",허**,김**
="20250604",="20020197346",남도막창구이 2호점,인천광역시 연수구 독배로82번길 50(옥련동  지상1층),="0328338852",권**,이**
="20250604",="20180091336",네네치킨 상도2호점,서울특별시 동작구 성대로 75(1층 상도동),,안**,임**
="20250602",="19980086420",넙딱집,서울특별시 영등포구 신길로 160(1층 신길동),="028435007",이**,이**
="20250602",="20230491282",놈놈,경기도 용인시 처인구 모현읍 백옥대로 2489(1층 일부호),,김**,박**
="20250604",="20210039021",뇌산마을 건대직영점,서울특별시 광진구 아차산로33길 34(지하1층 화양동),,이**,이**
="20250602",="20180070921",누구나홀딱반한닭(합정역점),서울특별시 마포구 월드컵로3길 36(1층 합정동),,김*******,이**
="20250602",="20240526438",느린마을 하남미사점,경기도 하남시 미사강변중앙로 200(e편한세상 시티 미사 1층 118-1 118-2 119호 망월동),,윤**,박**
="20250602",="20240460940",뉴욕커피,경기도 평택시 비전2로 216(로얄 프라자 제1동 115호 비전동),,박**,J**************
="20250602",="19910285062",다사랑,경기도 의정부시 용민로26번길 38(용현동  지상1층),="0318519310",유*******,박**
="20250602",="20190323230",다원연탄불고기&생삼겹,경기도 평택시 서정역로36번길 88(F동 1층 이충동),="0316666613",황**,김**
="20250604",="20130313288",달달포차,경기도 안산시 상록구 학사2길 2-1(지하1층 사동),="0314834566",박**,박*******
="20250602",="19960350077",달밤맥주,경기도 용인시 기흥구 신갈로84번길 25(신갈동),="0312844849",김**,박**
="20250602",="20240040717",달새는달만생각한다,서울특별시 종로구 인사동12길 14-3(관훈동),,김**,송**
="20250602",="20220133109",대관령토종한우,서울특별시 강남구 압구정로 152(극동타워 지하1층 101호 103호 신사동),="025458592",이**,이**
="20250604",="19920360045",대교정육점식당,경기도 안성시 안성맞춤대로 1009-1(인지동),,진**,진**
="20250604",="20170370229",대박숯불직화구이,경기도 양주시 덕정2길 4(덕정동  1 2층),,김**,홍**
="20250604",="20140091522",대한해물,서울특별시 동작구 만양로 100(1층 1~2호 노량진동),="028170375",정**,고**
="20250604",="20180319410",더건강한닭곰탕,경기도 광명시 광명로928번길 10(2층 광명동),,최**,김**
="20250602",="20130033567",더나은 장터흑염소,서울특별시 용산구 이촌로14길 16(7동 1층 104호 이촌동  시범아파트),,윤**,조**
="20250602",="20240513858",더블에스에프앤비,경기도 시흥시 은계호수로 49(시흥 센트럴돔 그랑트리 캐슬 B041일부호 은행동),="07082112700",이**,강**
="20250604",="19780202018",덕성관,인천광역시 부평구 장제로91번길 36-1(부평동),,이**,이**
="20250602",="20240536223",더포크,경기도 용인시 기흥구 중부대로746번길 2(루벤스빌딩 109호 상하동),,최**,백**
="20250604",="20250045339",도깨바,서울특별시 중구 퇴계로27길 53(지하1층 저동2가),,진**,진**
="20250604",="20190087870",데일리프룻 영등포점,서울특별시 영등포구 국회대로54길 10(8동 1층 1호 영등포동7가  아크로타워 스퀘어),,이**,윤**
="20250602",="20140297476",데일리,경기도 부천시 원미구 조마루로297번길 43(201호 중동  서진빌딩),="0323239008",오**,장**
="20250602",="20100025218",데우라리 네팔,서울특별시 종로구 종로51가길 4(창신동),,비*****,손**
="20250602",="20230405683",도깨비짬뽕,경기도 부천시 원미구 부흥로 448(스카이로얄 102 103호 심곡동),,유**,김**
="20250602",="20190094218",독산닭발,서울특별시 관악구 남부순환로 1600-10(1층 신림동),="028787787",서**,이**
="20250604",="20250396016",돈돼후 야시장,경기도 성남시 중원구 금상로90번길 1(3층 일부호 상대원동),,조**,최**
="20250602",="20240162354",돈까스브로스 강동점,서울특별시 강동구 천호대로 1089(지1층 비33호 천호동  강동 헤르셔),,서**,김**
="20250604",="20210291167",돗가비 의정부송산점,경기도 의정부시 송산로 897(지상1층 산곡동),,안**,노**
="20250602",="20240503182",돌우물집 진접오남점,경기도 남양주시 오남읍 경복대로 63-36(1층 일부),,이**,이*******
="20250604",="20170115231",동경규동 잠실점,서울특별시 송파구 백제고분로21길 36(1층 삼전동),,이**,방**
="20250604",="20240393484",동진수산 풍천장어,경기도 성남시 수정구 대왕판교로 934(1층 고등동),="0317238077",신**,지**
="20250602",="20070208531",동행,인천광역시 서구 길주로 116(석남동),,신**,유**
="20250604",="20210278280",두루촌(村),경기도 수원시 권선구 일월천로4번길 26(1층 구운동),="0312168881",노**,최**
="20250602",="20210369297",두찜 용인죽전점,경기도 용인시 수지구 푸른솔로 81(은성프라자 1층 104호 죽전동),,최**,안**
="20250602",="20230272055",두찜 인천십정점,인천광역시 부평구 배곶북로 14(1층 일부호 십정동),,김*******,김**
