인허가 변경일자,인허가 번호,상호명,주소,전화번호,인허가 before 정보,인허가 after 정보
="20250612",="20020202280",25센치꼬치오뎅바,인천광역시 부평구 백범로468번길 41-3(십정동),="0324262172",황**,김**
="20250612",="20140202271",25센치꼬치구이,인천광역시 부평구 백범로468번길 41-3(1층 십정동),,황**,김**
="20250612",="20020308465",789마라탕송탄점,경기도 평택시 특구로27번길 35(서정동 1층),="0316113522",G*********,노**
="20250612",="20230517158",CAFE GGOM(카페꼼),경기도 화성시 봉담읍 삼천병마로 1321-10(동남메리트아파트),,신*******,엄**
="20250612",="20250131425",INAFOOD,서울특별시 관악구 조원로 170(지하1층 3호 신림동),,서**,서*******
="20250612",="20240283770",간장게장2900원,인천광역시 부평구 배곶로 43(1층 일부 십정동),,최**,이**
="20250612",="20240283011",게장참잘하는집,인천광역시 부평구 배곶로 43(1층 일부 십정동),,최**,이**
="20250612",="20240156194",경몽루 제타플렉스 잠실점,서울특별시 송파구 올림픽로 240(롯데마트 제타플렉스 잠실점 6층 잠실동),,리*****************,정**
="20250612",="20190284362",고기집사람들,경기도 성남시 중원구 둔촌대로363번길 4(1층 일부호 하대원동),,노**,김**
="20250612",="20100273144",고반가든서수원점,경기도 수원시 권선구 일월천로4번길 22(구운동 외 1필지 2 3층),="0312278952",김**,김**
="20250612",="20190362069",고봉민김밥인 하남미사역점,경기도 하남시 미사강변동로 72(에스비비즈타워 1층 101호 망월동),="0317918993",황**,이**
="20250612",="20240504961",고와 부뚜막 솥뚜껑 생삼겹살,경기도 남양주시 오남읍 경복대로 64(1층 일부호),,김**,손**
="20250612",="19840033006",골목집,서울특별시 용산구 우사단로 43(이태원동 지상1층),="027970997",박**,박**
="20250612",="20130301099",골목양꼬치,경기도 부천시 소사구 성주로261번길 4(심곡본동  1층),,C**************,J***********
="20250612",="19940372229",곰셰프의 칼국수,경기도 양주시 은현면 선하로 21(제1동 1층),="003105440680",김**,김**
="20250612",="20210272514",괜찮아,경기도 수원시 팔달구 경수대로446번길 60(가하빌딩 3층 인계동),,김**,노**
="20250612",="19980199012",그냥술집,인천광역시 남동구 석촌로 43(간석동 외1필지석촌로 43 1층),,박**,진**
="20250612",="20240263378",그랩크랩,인천광역시 중구 은하수로29번길 36-1(은하수프라자 1층 105 106 107 108 109호 중산동),="0325689598",최**,이**
="20250612",="20100365747",금메달 한식뷔페,경기도 화성시 팔탄면 터넉골로 203(1동 1층),="0313663818",강**,박**
="20250612",="20180070196",긴자료코 신사본점,서울특별시 서초구 강남대로101길 34(1층 잠원동),,김*******,원*******
="20250612",="20230516767",깡우동 동탄센트럴파크점,경기도 화성시 동탄지성로 108(동탄삼성프라자 101호 반송동),="050713359629",황**,남****************
="20250612",="20180365135",남사왕돈까스,경기도 용인시 처인구 남사읍 처인성로 577(1층 일부),="0313324145",임**,임**
="20250612",="20090080685",내고향 소머리국밥,서울특별시 구로구 공원로6나길 43-15(구로동 지상1층),,이**,이*******
="20250612",="20210282255",노리터포차,경기도 성남시 수정구 시민로175번길 19(1층 신흥동),,김**,배**
="20250612",="20220063117",노모어피자 길음점,서울특별시 성북구 숭인로 50(지하2층 1117호 길음동  래미안길음센터피스),,김**,장**
="20250612",="20060368360",누구나홀딱반한닭 광주열미점,경기도 광주시 곤지암읍 벌열미길 1(1층),="0317688355",김**,신*******
="20250612",="20240460567",다담만두,경기도 평택시 원평2로27번길 3(1층 평택동),,H***********************,최**
="20250612",="20190374098",대박이네,경기도 이천시 영창로 159(관고동),="0316334805",장**,윤**
="20250612",="20240097587",대성식당,서울특별시 마포구 동교로38길 33-6(지1층 연남동),,오**,김**
="20250612",="20080084538",대촌 불쭈꾸미 본점,서울특별시 금천구 벚꽃로 312(가산동  지상1층),="028557417",박**,박**
="20250612",="20190376388",더 고기(The 고기),경기도 안성시 대덕면 대학6길 8(2층),,W******,K**********************
="20250612",="20190085131",더벤티 독산점,서울특별시 금천구 시흥대로122길 7(지상1층 독산동),,김**,박**
="20250612",="20230454044",데이브레이크,경기도 고양시 덕양구 북한산로 433(1층 효자동),,이**,정**
="20250612",="20220273281",도깨비꼬마김밥 청라직영점,인천광역시 서구 청라커낼로260번길 11(진성프라자 제1동 제1층 117호 청라동),,이**,박**
="20250612",="20230431538",돈필살,경기도 평택시 함박산9길 28(다원 1층 고덕동),,한**,유**
