인허가 변경일자,인허가 번호,상호명,주소,전화번호,인허가 before 정보,인허가 after 정보
="20250521",="20250045345",(주)제이티비코리아 김수사 신세계명동점,서울특별시 중구 퇴계로 77(신세계백화점 14층 충무로1가),="050714791182",윤**,김**
="20250521",="19970292184",LA갈비당,경기도 안양시 동안구 인덕원로24번길 19(관양동  1층),,백**,김**
="20250521",="20240131417",가야 3대 육전밀면,서울특별시 관악구 문성로 233(103호 신림동),,함**,조**
="20250521",="20130304017",갠차나유,경기도 광명시 금하로 525(소하동  102호),="028971268",김**,임**
="20250521",="20200115245",고기극찬 송파점,서울특별시 송파구 동남로11길 5(2층 201호 가락동),="024482709",최**,임*******
="20250521",="20130362537",구수옥설렁탕,경기도 김포시 김포한강1로 77-36(1층 장기동),="0319859441",김*******,김************
="20250521",="20160336414",국가대표짬뽕오산점,경기도 오산시 현충로 73(1층 101호 은계동),="0313755255",고**,권**
="20250521",="20160199669",금별맥주,인천광역시 남동구 서창남순환로216번길 35(1층 124 125호 서창동  청수타워),,김**,박**
="20250521",="20200286967",길우동,경기도 성남시 분당구 운중로 123(마크시티오렌지 1층 106호 운중동),="0317010801",김**,김*******
="20250521",="20220517381",까막골동치미막국수,경기도 양주시 부흥로 2111(1층 삼숭동),,이**,안**
="20250521",="20160309320",꼬마호프,경기도 평택시 안중읍 안중로100번길 17,,랑**,J***************
="20250521",="19920271110",꼬미곶닭발＆산꼼장어,경기도 수원시 장안구 정조로934번길 22(영화동),="0312421118",최**,최**
="20250521",="20240400552",나진국밥,경기도 성남시 분당구 매화로 56(중탑현진원빌딩 1일부층 야탑동),="0317080109",오**,장**
="20250521",="20240477569",너랑나7080,경기도 안산시 단원구 와동로 22-1(401호 와동),,이**,김**
="20250521",="20240097751",노랑통닭 광흥창점,서울특별시 마포구 창전로 45(101동 107호 창전동  서강한화오벨리스크스위트),,이**,한*******
="20250521",="20250574100",닭다리순살하나만제대로하는집 양주점,경기도 양주시 옥정동로3길 16(1층 일부 옥정동),,김**,이**
="20250521",="20030069599",대왕꼼장어,서울특별시 마포구 양화로23길 16(동교동  1층),="023343599",강*******,강**
="20250521",="20120066495",더김밥(THE 김밥),서울특별시 서대문구 경기대로 23(1층 충정로3가),="023934333",조**,이**
="20250521",="20240054326",덮담 왕십리 본점,서울특별시 성동구 무학봉28길 4-1(지1층 B103호 하왕십리동),,박**,N****************
="20250521",="20240414389",도스마스 평촌점,경기도 안양시 동안구 시민대로 317(대한스마트타워 122호 관양동),,안**,안**
="20250521",="20230053525",도톰카츠 광진점,서울특별시 광진구 자양로 265(1층 구의동),,김**,신*******
="20250521",="20150327137",도화면옥 일산본점,경기도 고양시 일산서구 중앙로 1388(강선마을 복합상가 동관 101 102일부 103호 주엽동),,임*******,임**
="20250521",="20230141481",동근이 숯불두마리치킨 역삼점,서울특별시 강남구 언주로107길 46(지상1층 101호 역삼동),,박*******,이**
="20250521",="20210366787",뜰안,경기도 용인시 기흥구 덕영대로1967번길 87(1층 일부호 하갈동),,안**,백*******
="20250521",="20210091900",램타운양꼬치 사당점,서울특별시 동작구 동작대로1길 28(1층 사당동),,J**********************************,김*******************
="20250521",="20210116693",로얄테라스 가든,서울특별시 송파구 올림픽로 300(롯데월드타워앤드롯데월드몰 지하1층 신천동),="0234433022",김**,김**
="20250521",="20190374011",롯데마트 이천점 회코너,경기도 이천시 구만리로 191(지하1층 안흥동  롯데캐슬 골드스카이),,강**,강**************************************
="20250521",="20180323046",료혼,경기도 평택시 특구로 7(1층 102호 서정동),,이**,지**
="20250521",="19970358222",리틀피크닉,경기도 이천시 어재연로10번길 28(중리동),="0316328050",신*******,안**
="20250521",="20010199002",마루,인천광역시 남동구 백범로206번길 12(만수동),="0324712583",권**,오**
="20250521",="20210346073",마약낙곱새 구리다산점,경기도 구리시 검배로71번길 12-31(1층 수택동),,엄**,남*******
="20250521",="20160338080",맛드림뷔페,경기도 시흥시 오이도로 21(110호 정왕동  랜드프라자 제1층),="03180414289",김**,김**
="20250521",="20230519662",맛있는밥집,경기도 화성시 서신면 제부로654번길 46(1층 전체호),,김**,김**
="20250521",="20230454815",매운가,경기도 고양시 덕양구 권율대로 896-10(105 106호 신원동),,강**,김**
="20250521",="20230469763",멕시카나 화도묵현점,경기도 남양주시 화도읍 비룡로141번길 7(1층 102호 씨엘타운 B동),,노**,임**
="20250521",="19990115327",명랑 축산,서울특별시 송파구 오금로13길 16(지상1층 방이동),="02",권**,홍**
="20250521",="20200319386",명화한식뷔페,경기도 화성시 정남면 발안로 997(1층 일부호),,정**,박**
="20250521",="20240080142",모란커피숍,서울특별시 도봉구 도봉로 771(2층 도봉동),,박**,황**
="20250521",="20250263059",몬스터포 하늘도시점,인천광역시 중구 자연대로 37(2층 211호 중산동),,김**,김**
="20250521",="20170633939",목향상동본점,경기도 부천시 원미구 길주로121번길 18-15(상동  우리프라자 101호 102호),,서**,엄**
="20250521",="20210365073",무제,경기도 용인시 처인구 금령로22번길 2(2층 김량장동),,곽**,박**
="20250521",="20200331367",무지개호프,경기도 안산시 단원구 부부로1길 5-15(1층일부 원곡동),,신**,Q*****************
="20250521",="20210099045",미스터피자 서초점,서울특별시 서초구 고무래로8길 13(지1층 반포동),="025951101",윤**,이**
="20250521",="20060308312",바른흑염소송탄점,경기도 평택시 청원로 1355(이충동),="0316666652",윤**,홍**
="20250521",="20250574099",바삭한 닭다리 순살 후라이드 양주점,경기도 양주시 옥정동로3길 16(1층 일부 옥정동),,김**,이**
="20250521",="20200202240",밤상,인천광역시 남동구 인하로511번길 4(1층 전부호 구월동),,장*******,장**
="20250521",="20220032008",발효실,서울특별시 중구 세종대로2가길 28(5층 남대문로5가),,이************,이**
="20250521",="19940267264",배떡 인계점,경기도 수원시 팔달구 장다리로195번길 15(1층 101호 인계동  가람주택),="0312218405",최**,서**
="20250521",="20120094280",백세 삼계탕,서울특별시 관악구 신림동길 27(신림동),,박**,박**
="20250521",="20240050932",베어트리(BARE TREE),서울특별시 용산구 보광로 120-1(3층 이태원동),,정**,서**
="20250521",="20200321395",별미곱창 본점,경기도 평택시 자유로8번길 3-4(1층 합정동),="0316519922",허******,임**
="20250521",="20230431157",복댕이,경기도 평택시 탄현로326번길 20-8(1층 지산동),,전**,양**
="20250521",="20160042332",복 가마솥시장통닭,서울특별시 동대문구 홍릉로5길 7(1층 청량리동),,김**,장**
="20250521",="20160306657",본죽앤비빔밥 소사벌점,경기도 평택시 평남로 858(105호 비전동  삼성타워),="0316576288",최**,황**
="20250521",="20240514309",봉브릿지더플레이스,경기도 시흥시 동서로 706-92(2  3층 물왕동),,목**,이**
="20250521",="20210108124",비엔나,서울특별시 강남구 언주로107길 23(지하1층 역삼동),="025582356",김**,어**
="20250521",="20160325246",사색찬미 한식부페,경기도 고양시 일산동구 무궁화로 31-1(장항동  텐폴드프라자 201호),="0319186888",김**,이**
="20250521",="20240118067",산청리56솥뚜껑생삼겹살 시흥사거리점,서울특별시 금천구 시흥대로52길 46(1층 1 2 3 4호 시흥동),,임**,김**
="20250521",="20240050935",새벽난장판,서울특별시 용산구 이태원로27가길 10(지하1층 이태원동),,박**,박**
="20250521",="20100309175",서아네부대찌개,경기도 평택시 포승읍 여술2길 42-1,="0316834677",김**,송**
="20250521",="20190301089",서울마님죽,경기도 부천시 원미구 장말로199번길 33(1층일부 중동),="0326683358",김**,김*
="20250521",="20240131418",서촌 삼계탕,서울특별시 관악구 문성로 233(104호 신림동),,함**,조**
="20250521",="20130316567",세컨디포레스트 안산중앙점,경기도 안산시 단원구 고잔로 102(206호 고잔동  대지스타타워),,김**,최**
="20250521",="20200203675",소래향,인천광역시 남동구 오봉동로10번길 6(1층 일부호 도림동),,최**,정**
="20250521",="20180319156",소품격,경기도 광명시 오리로854번길 12(세인트빌딩상가 2층 201호 철산동),="0226897776",강**,송**
="20250521",="20170353683",손골 한우마을,경기도 용인시 수지구 동천로 367(1층 동천동),="0312727665",심**,심*******
